============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  111  1 .4782477E+07   1922000E+01  .2005E+06  .9497E+06   .9988524  .0011639  .0478809
T  112  1 .4430003E+07   1922000E+01 -.4439E+06  .5145E+06   .9980344 -.0410027  .0473940
T  113  1 .5480782E+07   1922000E+01  .1122E+06 -.4861E+05   .9995912  .0229357  .0170697
T  114  1 .5311177E+07   1922000E+01 -.4010E+06 -.3728E+05   .9993062 -.0338322  .0155734
T  115  1 .5069270E+07   1922000E+01  .1527E+06 -.2161E+06   .9998653  .0093533 -.0134901
T  116  1 .5115896E+07   1922000E+01 -.5242E+06  .3247E+05   .9965186 -.0832846  .0037900
T  117  1 .5437858E+07   1922000E+01 -.1157E+06  .1163E+06   .9987113 -.0364533  .0353125
T  118  1 .5089771E+07   1922000E+01 -.1208E+06  .1894E+06   .9999610 -.0051396  .0071816
T  119  1 .5181692E+07   1922000E+01  .1513E+06  .1538E+06   .9997530 -.0063226  .0213063
T  120  1 .4835279E+07   1922000E+01 -.5296E+06  .2851E+05   .9992651 -.0164755  .0346086
T  121  1 .4976519E+07   1922000E+01  .8897E+06 -.3576E+06   .9919133  .1103512 -.0626940
T  122  1 .4925167E+07   1922000E+01  .1906E+06 -.8601E+05   .9966019  .0143844  .0811029
T  123  1 .5071939E+07   1922000E+01 -.7015E+05  .1230E+06   .9997988 -.0165728 -.0112966
T  124  1 .4733658E+07   1922000E+01 -.8932E+05 -.3111E+06   .9994055  .0062566 -.0339045
T  125  1 .5167181E+07   1922000E+01 -.4404E+06  .1061E+05   .9977014 -.0238028 -.0634462
T  126  1 .4631042E+07   1922000E+01  .2649E+06  .3471E+06   .9840063  .1390719  .1113133
T  127  1 .4675038E+07   1922000E+01  .4302E+06 -.1307E+06   .9984335  .0356678 -.0431082
T  128  1 .4943222E+07   1922000E+01 -.1800E+05 -.2052E+06   .9991771  .0290126 -.0283457
T  129  1 .5046294E+07   1922000E+01  .5155E+05 -.5219E+05   .9990353  .0438804  .0017157
T  130  1 .5098355E+07   1922000E+01  .4034E+05 -.3199E+06   .9995790  .0079016 -.0279167
T  131  1 .5121438E+07   1922000E+01  .1873E+06  .3910E+05   .9998105 -.0173426 -.0088421
T  132  1 .5479819E+07   1922000E+01  .1746E+06 -.1883E+06   .9994320  .0300652 -.0152233
T  133  1 .5234663E+07   1922000E+01 -.2029E+06  .1660E+06   .9998434  .0063223 -.0165261
T  134  1 .5239769E+07   1922000E+01  .2513E+06  .3187E+06   .9967591  .0380961  .0708521
T  135  1 .4893166E+07   1922000E+01  .4123E+06  .5148E+06   .9989206 -.0143836  .0441663
T  136  1 .4824513E+07   1922000E+01  .3308E+06 -.5924E+06   .9738040  .0093073 -.2271986
